[STRING]
String = 60000,test
String = 60001,單手持劍快速突刺產生的殘影攻擊，可以有效殺傷前方敵軍。
String = 60002,氣貫劍身，猛烈的橫向揮斬，範圍不大，但殺傷力極強。
String = 60003,集全身氣力掀起旋風攻擊敵軍，威力偏低，但殺傷範圍極大。
String = 60004,放出迷魂毒煙，控制身邊敵兵意識，使其倒戈助我軍一臂之力。
String = 60005,以大刀向後猛掃，雖只針對背後敵人攻擊，但對主將的傷害偶爾會有神來之筆。
String = 60006,以大刀挑起後方敵人，再向前猛擲，以瞬間爆裂的血霧產生極大殺傷力。
String = 60007,雙手持槍朝上快速旋轉，對四周敵軍產生強力的迴旋攻擊。
String = 60008,以長槍猛然擊地，產生大範圍的六方向波動攻擊。
String = 60009,集聚殺氣，向前方射出強力飛箭，超長距離的直線攻擊是此招最大特色。
String = 60010,以氣化箭，射出一道赤紅的翼形光氣，襲殺沿途的大批敵軍。
String = 60011,集全身殺氣大喝一聲產生攻擊震波，為向外擴散的大範圍強力必殺技。
String = 60012,武將陷入狂暴狀態，持武器左右亂斬，豪邁的強力必殺技。
String = 60013,武將散發的殺氣造成巨大衝擊波，攻擊範圍極廣，威力遠超過一般必殺技。
String = 60014,究極必殺技，武將的精氣神合而為一，澎湃的真氣如滔天巨浪毀滅周圍敵軍。
String = 60051,方形之陣屬於最基本的陣形，前排部署近戰部隊，後排部署遠程部隊是最典型的兵力配置方式。方形之陣在使用上並沒有特別的優缺點，穩紮穩打就是它最大的特色，在初期戰力較弱時也很容易運用。
String = 60052,翔鷹之陣能夠同時提昇我軍士兵攻擊力、防禦力，是相當強力的高等衝鋒陣形，適合猛將集團進行強襲，具有快速衝散敵軍陣勢的功效。值得注意的是，如果部隊的整體戰力不足將使效果大打折扣，但到了後期戰力強大時，翔鷹之陣將是掃蕩敵軍的極佳選擇。\n士兵防禦力上升\n士兵攻擊力上升
String = 60053,天地之陣是同時提昇我軍士兵防禦力、攻擊力、移動速度的高等陣型，幾乎適合任何戰術。前方橫隊攻時可衝鋒開路、守時可作後方部隊的屏障，後方部隊則可自由搭配遠程或近戰軍種，隨時提供支援或掩護的火力。\n士兵防禦力上升\n士兵攻擊力上升\n士兵速度上升
String = 60054,雁形之陣是能夠同時提昇士兵防禦力、移動速度的高等陣型。由於大部分的兵力都集中於左右兩軍，且左右兩軍具有包圍夾擊與上下延伸的機動性，在快速突入敵軍陣營後，可以立即產生包圍的效果。使用此陣要特別注意，避免敵軍突破陣形中央的空隙，將我軍分割為2。要發揮雁形之陣的包圍，至少要能夠組成四名武將以上的部隊。\n士兵防禦力上升\n士兵速度上升
String = 60055,箭矢之陣是重視速度的陣形，適合搭配移動速度慢的近戰兵種，用來突擊不擅近戰的遠程部隊時，更有意想不到的奇效。要留意的是，若我軍各兵種速度差距太大，使用箭矢之陣容易造成各部隊距離過遠，無法相互支援，敵軍便有各個擊破的機會。\n士兵速度上升
String = 60056,鉤形之陣是重視攻擊的陣形，成犄角之勢的衝鋒狀態，可以提高我軍士兵的攻擊力。建議殿後的小隊採用耐久力較高的軍種，以免遭到敵軍衝散陣形。在初期，武將只能組成3人左右的部隊時，就能發揮鉤形之陣的效果，是它的一大優點。\n士兵攻擊力上升
String = 60057,錐形之陣是能夠同時提昇我軍士兵攻擊力、移動速度的高等陣型，主要特色在於兵力集中於中央縱隊，在突破敵軍的前鋒防線時效果驚人。適合對付前鋒薄弱、後方卻有強大遠程火力的敵軍。錐形之陣至少要有四名以上的武將才容易發揮出效果。\n士兵攻擊力上升\n士兵速度上升
String = 60058,圓形之陣是重視防禦的陣形，各部隊互相連接，可以使士兵的防禦力上升。兩翼的小隊可以部署速度較快的兵種，以機動支援中央移動較不靈活的部隊。由於兵力過於密集，在遭受集中型的武將技攻擊時容易造成大量的傷亡，這點是使用圓形之陣時必須注意的。\n士兵防禦力上升
String = 60065,方形之陣屬於最基本的陣形，無任何特殊優勢。
String = 60066,翔鷹之陣能夠同時提昇我軍士兵攻擊力、防禦力，是相當強力的高等衝鋒陣形。
String = 60067,天地之陣是同時提昇我軍士兵防禦力、攻擊力、移動速度的超高等陣型。
String = 60068,雁形之陣是能夠同時提昇士兵防禦力、移動速度的高等陣型。
String = 60069,箭矢之陣是重視速度的陣形，適合進行突擊作戰。
String = 60070,鉤形之陣是重視攻擊的陣形，成犄角之勢的衝鋒狀態，能提高我軍士兵的攻擊力。
String = 60071,錐形之陣是能夠同時提昇我軍士兵攻擊力、移動速度的高等陣型。
String = 60072,圓形之陣是重視防禦的陣形，各部隊互相連接，可以使士兵的防禦力上升。
String = 60100,預備列
String = 60101,預備列
String = 60102,預備列
String = 60103,設下火計，讓敵人受到烈火焚身的傷害。
String = 60104,事先設置陷阱，讓敵人被從腳下竄起的火舌燒死。
String = 60105,設下連環火計，誘使大量敵人陷入火海的包圍。
String = 60106,派出二台弩車，射出大量的箭矢攻擊敵軍。
String = 60107,派出四台弩車，射出大量的箭矢攻擊敵軍。
String = 60108,派出六台弩車，以綿密無空隙的箭網攻擊敵軍。
String = 60109,派出一組弓箭隊，施放著火的箭矢攻擊敵人。
String = 60110,派出兩組弓箭隊，施放滿天箭雨，令敵人傷亡慘重。
String = 60111,派出三組弓箭隊，以火箭對敵軍施放大範圍箭雨。
String = 60112,從我軍後方發射長距離的龍砲，對敵軍進行砲擊。
String = 60113,以數台龍砲進行齊射攻勢，發動大規模砲擊。
String = 60114,以多台龍砲進行齊射攻勢，對敵軍發動毀滅性砲擊。
String = 60115,派出三台投石車，以著火的石塊攻擊敵人。
String = 60116,派出五台投石車，拋射出炬石落在敵軍密集處。
String = 60117,派出七台投石車，以大量炬石對敵軍進行密集轟炸。
String = 60118,推出一具火輪，碾死路徑上的敵人。
String = 60119,將兩具火輪並排推入敵軍之中，造成大量死傷。
String = 60120,同時推出三具火輪，令敵人無處可逃。
String = 60121,將巨大的石塊推入敵陣，令敵軍受到傷害。
String = 60122,將五顆石頭滾入敵陣，殺得敵人措手不及。
String = 60123,將大量大石塊推進敵陣裡，造成敵軍大量死傷。
String = 60124,預備列
String = 60125,預備列
String = 60126,預備列
String = 60127,以地底噴出的水柱沖垮敵兵。
String = 60128,從地底深處噴出強力水柱，引發災害。
String = 60129,誘發大規模的水柱群沖出地表，釀成嚴重的災害。
String = 60130,預先在戰場上設置機關，以長矛貫穿敵人。
String = 60131,設置好幾組機關，以連環陷阱刺殺大量的敵人。
String = 60132,設下連環機關，使敵軍死在長矛之下，逃生無門。
String = 60133,預備列
String = 60134,預備列
String = 60135,預備列
String = 60136,預備列
String = 60137,預備列
String = 60138,預備列
String = 60139,從敵將腳底下刺出石柱。
String = 60140,從敵將腳底下刺出石柱，並波及其他敵兵。
String = 60141,以將地面翻過來的規模，在敵將周圍刺出大量石柱。
String = 60142,設置陷阱，在敵軍行進的路線上昇起一道炎牆。
String = 60143,升起一道火海狀的長城，阻擋大軍行進。
String = 60144,升起三道火柱，殺傷力強大，需要耗費大量技力。
String = 60145,升起四道火柱，殺傷力極強，但耗費的技力也相當驚人。
String = 60146,預先設置太極法陣，待敵軍接近時，令法陣自行啟動。
String = 60147,設置大量太極法陣，待敵軍接近，發動爆炸性的連鎖攻擊。
String = 60148,以蘊含八卦之力的靈劍，對二個方向敵軍攻擊。
String = 60149,以蘊含八卦之力的靈劍，對四個方向敵軍攻擊。
String = 60150,以蘊含八卦之力的靈劍，對六個方向敵軍攻擊。
String = 60151,在敵陣當中落下閃電。
String = 60152,在敵陣當中落下大量閃電。
String = 60153,施展術法，呼喚末日般的天雷之陣降臨在敵陣營上。
String = 60154,在所有敵將身上落下閃電。
String = 60155,以強力落雷連續攻擊所有敵將。
String = 60156,召喚威力強大的天雷，對所有敵將造成傷害。
String = 60157,以少量伏兵埋於我軍後方，等待時機，加入戰局。
String = 60158,以多量伏兵埋於我軍後方，等待時機，加入戰局。
String = 60159,以大量伏兵埋於我軍後方，等待時機，加入戰局。
String = 60160,以少量伏兵埋於敵軍後方，等待時機，加入戰局。
String = 60161,以多量伏兵埋於敵軍後方，等待時機，加入戰局。
String = 60162,以大量伏兵埋於敵軍後方，等待時機，加入戰局。
String = 60163,以兩台鐵甲運兵車將士兵載運到戰場中央。
String = 60164,以三台鐵甲運兵車將士兵載運到戰場中央。
String = 60165,以四台鐵甲運兵車將士兵載運到戰場中央。
String = 60166,以術法操縱火石，使其圍繞在武將四周。
String = 60167,以術法操縱數顆火石，燒死意圖來犯的敵人。
String = 60168,喚出數量龐大的火石，組成既可攻、亦可守的陣勢。
String = 60169,放出會爆炸、也會自行追敵的蓮花燈。
String = 60170,放出數個蓮花燈，讓蓮花燈自行去攻擊敵人。
String = 60171,一口氣放出大量蓮花燈，對敵軍發動連續的爆炸。
String = 60172,釋放出兩把能自行索敵、攻擊的心劍。
String = 60173,釋放出四把能自行索敵、攻擊的心劍。
String = 60174,數把光劍排列在武將周圍，旋轉斬殺來襲的敵人。
String = 60175,喚出兩把神兵隨在武將身邊，讓其自行去攻擊敵人。
String = 60176,瘋狂砍殺的大招式，能對敵將造成莫大傷害。
String = 60177,放出龍捲風，將路徑上的敵兵吹到天空去。
String = 60178,放出數個龍捲風，將路徑上的敵兵吹到天空去。
String = 60179,掀起濤天狂嵐，令大量敵兵陷入天地變異的大災難中。
String = 60180,預備列
String = 60181,預備列
String = 60182,預備列
String = 60183,派出一排長槍兵為敢死隊，自大軍中殺出重圍。
String = 60184,派出一排精銳騎兵，在敵軍的陣勢當中殺出一條血路。
String = 60185,派出身上著火的發狂火牛進行突擊。
