[STRING]
String = 60000,阵型说明(自设武将)
String = 60001,方形之阵属于盾阵，可提升少许防御力，对剑阵有利。
String = 60002,翔鹰之阵属于剑阵，能够同时提升我军士兵攻击力与跑速，对锤阵有利。
String = 60003,天地之阵是同时提升我军士兵防御力、攻击力、移动速度的极阵。\n除了无形之阵外，对其他阵形都有压倒性的优势。
String = 60004,雁形之阵是能够同时提升士兵防御力、移动速度的高等剑阵。
String = 60005,箭矢之阵是重视速度的锤阵，对剑阵有利，适合进行突击作战。
String = 60006,钩形之阵是重视攻击的锤阵，成犄角之势的冲锋状态，能提高我军士兵的攻击力。
String = 60007,锥形之阵是能够同时提升我军士兵攻击力、移动速度的高等锤阵。
String = 60008,圆形之阵是重视防御的盾阵，各部队互相连接，可以使士兵的防御力上升。
String = 60009,水镜之阵喻杀气于无形，可化解一切阵形的生克关系，尤其对极阵有利。
String = 60010,预备列
String = 60011,预备列
String = 60012,预备列
String = 60013,预备列
String = 60014,预备列
String = 60015,预备列
String = 60016,预备列
String = 60017,预备列
String = 60018,预备列
String = 60019,预备列
String = 60022,比武大会是否参加？
String = 60023,\n是否确定参赛队伍，准备进入武斗会场？
String = 60024,\n参赛队伍尚未满编，确定进入武斗会场？
String = 60029,轻步兵是战场的基本兵种，可克制弓兵、弩兵。
String = 60030,短弓兵是能够进行抛射的远程兵种。
String = 60031,短枪兵能够有效克制骑兵类型的兵种。
String = 60032,弩兵是能够进行水平射击的远程兵种。
String = 60033,轻骑兵是高耐久、高速度的大型兵种。
String = 60034,女兵是近战、远程皆可的高速兵种。
String = 60035,高移动速度的特殊步兵，但防御较低。
String = 60077,请选择一个单位
String = 60078,指定欲派遣位置
String = 60090,自设阵型
String = 60091,我军研究阵形有成，自设阵形可强化属性提升到2项。
String = 60092,我军研究阵形有成，自设阵形可强化属性提升到3项。
String = 60100,贼势浩大，莫逞愚勇，我军速退！
String = 60101,本将军暂且放你一马，来日再战！
String = 60102,本将非是嗜杀之人，今日不与汝等计较。
String = 60103,无道鼠辈必有奸计，我军宜速退。
String = 60104,今日形势不利，当留存实力，以待良机。
