[STRING]
String = 12000,建物名
String = 12001,西凉
String = 12002,陇右
String = 12003,安定
String = 12004,弘农
String = 12005,咸阳
String = 12006,陈仓
String = 12007,扶风
String = 12008,街亭
String = 12009,天水
String = 12010,雁门
String = 12011,绛
String = 12012,平阳
String = 12013,晋阳
String = 12014,邺
String = 12015,虎牢
String = 12016,壶关
String = 12017,界桥
String = 12018,汜水
String = 12019,代郡
String = 12020,平原
String = 12021,乌巢
String = 12022,濮阳
String = 12023,乐陵
String = 12024,南皮
String = 12025,高唐
String = 12026,北平
String = 12027,襄平
String = 12028,昌黎
String = 12029,乐浪
String = 12030,带方
String = 12031,下卞
String = 12032,祁山
String = 12033,阳平
String = 12034,梓潼
String = 12035,成都
String = 12036,江州
String = 12037,五丈原
String = 12038,白水
String = 12039,上庸
String = 12040,汉中
String = 12041,筑阳
String = 12042,葭萌
String = 12043,巴郡
String = 12044,襄阳
String = 12045,白帝
String = 12046,临江
String = 12047,长阪坡
String = 12048,乌林
String = 12049,郿
String = 12050,长安
String = 12051,洛阳
String = 12052,宛
String = 12053,延津
String = 12054,官渡
String = 12055,新野
String = 12056,许昌
String = 12057,汝南
String = 12058,陈留
String = 12059,庐江
String = 12060,谯
String = 12061,小沛
String = 12062,定陶
String = 12063,乐安
String = 12064,北海
String = 12065,都阳
String = 12066,下邳
String = 12067,徐州
String = 12068,淮安
String = 12069,盱眙
String = 12070,寿春
String = 12071,合淝
String = 12072,江夏
String = 12073,夏口
String = 12074,赤壁
String = 12075,湘潭
String = 12076,桂阳
String = 12077,长沙
String = 12078,庐陵
String = 12079,南海
String = 12080,豫章
String = 12081,区阿
String = 12082,建业
String = 12083,南昌
String = 12084,鄱阳
String = 12085,吴
String = 12086,会稽
String = 12087,松江
String = 12088,江陵
String = 12089,零陵
String = 12090,桂林
String = 12091,涪陵
String = 12092,武陵
String = 12093,交趾
String = 12094,建宁
String = 12095,云南
String = 12096,夷州
String = 12097,鹿耳门
String = 12098,邪马台
String = 12099,阿苏
String = 12100,出云
String = 12101,佐贺
String = 12102,阿久根
String = 12103,下关
String = 12104,保留
String = 12105,保留
String = 12106,保留
