[STRING]
String = 12000,建物名
String = 12001,西涼
String = 12002,隴右
String = 12003,安定
String = 12004,弘農
String = 12005,咸陽
String = 12006,陳倉
String = 12007,扶風
String = 12008,街亭
String = 12009,天水
String = 12010,雁門
String = 12011,絳
String = 12012,平陽
String = 12013,晉陽
String = 12014,鄴
String = 12015,虎牢
String = 12016,壺關
String = 12017,界橋
String = 12018,汜水
String = 12019,代郡
String = 12020,平原
String = 12021,烏巢
String = 12022,濮陽
String = 12023,樂陵
String = 12024,南皮
String = 12025,高唐
String = 12026,北平
String = 12027,襄平
String = 12028,昌黎
String = 12029,樂浪
String = 12030,帶方
String = 12031,下卞
String = 12032,祁山
String = 12033,陽平
String = 12034,梓潼
String = 12035,成都
String = 12036,江州
String = 12037,五丈原
String = 12038,白水
String = 12039,上庸
String = 12040,漢中
String = 12041,筑陽
String = 12042,葭萌
String = 12043,巴郡
String = 12044,襄陽
String = 12045,白帝
String = 12046,臨江
String = 12047,長阪坡
String = 12048,烏林
String = 12049,郿
String = 12050,長安
String = 12051,洛陽
String = 12052,宛
String = 12053,延津
String = 12054,官渡
String = 12055,新野
String = 12056,許昌
String = 12057,汝南
String = 12058,陳留
String = 12059,廬江
String = 12060,譙
String = 12061,小沛
String = 12062,定陶
String = 12063,樂安
String = 12064,北海
String = 12065,都陽
String = 12066,下邳
String = 12067,徐州
String = 12068,淮安
String = 12069,盱眙
String = 12070,壽春
String = 12071,合淝
String = 12072,江夏
String = 12073,夏口
String = 12074,赤壁
String = 12075,湘潭
String = 12076,桂陽
String = 12077,長沙
String = 12078,廬陵
String = 12079,南海
String = 12080,豫章
String = 12081,區阿
String = 12082,建業
String = 12083,南昌
String = 12084,鄱陽
String = 12085,吳
String = 12086,會稽
String = 12087,松江
String = 12088,江陵
String = 12089,零陵
String = 12090,桂林
String = 12091,涪陵
String = 12092,武陵
String = 12093,交趾
String = 12094,建寧
String = 12095,雲南
String = 12096,夷州
String = 12097,鹿耳門
String = 12098,邪馬台
String = 12099,阿蘇
String = 12100,出雲
String = 12101,佐賀
String = 12102,阿久根
String = 12103,下關
String = 12104,保留
String = 12105,保留
String = 12106,保留
String = 12107,保留
String = 12108,保留
String = 12109,保留
String = 12110,保留
String = 12111,保留
String = 12112,保留
String = 12113,保留
String = 12114,保留
String = 12115,保留
String = 12116,保留
String = 12117,保留
String = 12118,保留
String = 12119,保留
String = 12120,保留
String = 12121,保留
String = 12122,保留
String = 12123,保留
String = 12124,保留
String = 12125,保留
String = 12126,保留
String = 12127,保留
String = 12128,保留
String = 12129,保留
String = 12130,保留
String = 12131,保留
String = 12132,保留
String = 12133,保留
String = 12134,保留
String = 12135,保留
String = 12136,保留
String = 12137,保留
String = 12138,保留
String = 12139,保留
String = 12140,保留
String = 12141,保留
String = 12142,保留
String = 12143,保留
String = 12144,保留
String = 12145,保留
String = 12146,保留
String = 12147,保留
String = 12148,保留
String = 12149,保留
String = 12150,保留
String = 12151,保留
String = 12152,保留
String = 12153,保留
String = 12154,保留
String = 12155,保留
String = 12156,保留
String = 12157,保留
String = 12158,保留
String = 12159,保留
String = 12160,保留
String = 12161,保留
String = 12162,保留
String = 12163,保留
String = 12164,保留
String = 12165,保留
String = 12166,保留
String = 12167,保留
String = 12168,保留
String = 12169,保留
String = 12170,保留
String = 12171,保留
String = 12172,保留
String = 12173,保留
String = 12174,保留
String = 12175,保留
String = 12176,保留
String = 12177,保留
String = 12178,保留
String = 12179,保留
String = 12180,保留
String = 12181,保留
String = 12182,保留
String = 12183,保留
String = 12184,保留
String = 12185,保留
String = 12186,保留
String = 12187,保留
String = 12188,保留
String = 12189,保留
String = 12190,保留
String = 12191,保留
String = 12192,保留
String = 12193,保留
String = 12194,保留
String = 12195,保留
String = 12196,保留
String = 12197,保留
String = 12198,保留
String = 12199,保留
String = 12200,保留
String = 12201,毒龍潭
String = 12202,猛虎穴
String = 12203,大雪山
String = 12204,火焰山
String = 12205,獸神洞
String = 12206,青龍塔
String = 12207,白虎塔
String = 12208,玄武塔
String = 12209,朱雀塔
String = 12210,麒麟塔
String = 12211,桃源仙鄉
String = 12212,屍洞
String = 12213,九泉之淵
String = 14000,士兵名
String = 14001,輕步兵
String = 14002,重步兵
String = 14003,短弓兵
String = 14004,長弓兵
String = 14005,短槍兵
String = 14006,長槍兵
String = 14007,弩兵
